k141,max_score_group,CAT_data,score,gene
k141_10015347,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Eukaryota,(superkingdom):,1.00,Haptista,(phylum):,1.00,Haptophyta,(class):,1.00,Prymnesiophyceae,(clade):,1.00,Isochrysidales,(order):,1.00,Noelaerhabdaceae,(family):,1.00,Emiliania,(genus):,1.00,Emiliania,huxleyi,(species):,1.00,Emiliania,huxleyi,CCMP1516*,(strain):,1.00",0,nah
k141_10016958,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,0.56,Terrabacteria,group,(clade):,0.56,Actinobacteria,(phylum):,0.56,Acidimicrobiia,(class):,0.56,Acidimicrobiales,(order):,0.56,Acidimicrobiaceae,(family):,0.56,unclassified,Acidimicrobiaceae,(no,rank):,0.56,Acidimicrobiaceae,bacterium,(species):,0.56",0,nah
k141_10018373,nah,"root,(no,rank):,1.00",0,nah
k141_10020377,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):,1.00,Bacteria,(superkingdom):,1.00,Terrabacteria,group,(clade):,1.00,Cyanobacteria/Melainabacteria,group,(clade):,1.00,Cyanobacteria,(phylum):,1.00",0,nah
k141_10062212,nah,nah,0,nah
k141_10063526,nah,nah,0,nah
k141_10063884,nah,root,0,nah
k141_10064092,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):",0,nah
k141_10064615,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):",0,nah
k141_10065342,nah,"root,(no,rank):,1.00",0,nah
k141_10069299,nah,"root,(no,rank):,1.00",0,nah
k141_10070340,nah,"root,(no,rank):,1.00,cellular,organisms,(n",0,nah
k141_10071482,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):",0,nah
k141_10072185,nah,"root,(no,rank):,1.00",0,nah
k141_10072222,nah,"root,(no,rank):,1.00,cellular,organisms,(no,rank):",0,nah
k141_10073450,nah,nah,1,RNA_a
k141_10074325,nah,"root,(no,rank):,1.00",0,nah
k141_10074505,nah,nah,0,nah
k141_17466815,nah,nah,0,nah
k141_7752497,nah,nah,0,nah
k141_17956952,nah,nah,0,nah
k141_3099995,nah,nah,0,nah
k141_3800283,nah,nah,0,nah
k141_15778578,nah,nah,0,nah
k141_3278687,nah,nah,0,nah
k141_14683101,nah,nah,0,nah
k141_6160197,nah,nah,0,nah
k141_13032236,nah,nah,0,nah
k141_12776375,nah,nah,0,nah
k141_8560362,nah,nah,0,nah
k141_17611599,nah,nah,0,nah
k141_16561883,nah,nah,0,nah
k141_9981664,nah,nah,0,nah
k141_7498639,nah,nah,0,nah
k141_15525870,nah,nah,0,nah
k141_8658781,nah,nah,0,nah
k141_15492123,nah,nah,0,nah
k141_9473001,nah,nah,0,nah
k141_7511432,nah,nah,0,nah
k141_11128156,nah,nah,0,nah
k141_3467199,nah,nah,0,nah
k141_9265043,nah,nah,0,nah
k141_17106758,nah,nah,0,nah
k141_14046364,nah,nah,0,nah
k141_16538955,nah,nah,0,nah
k141_1214185,nah,nah,0,nah
k141_12076412,nah,nah,0,nah
k141_17251167,nah,nah,0,nah
k141_628011,nah,nah,0,nah
k141_10330,nah,nah,0,nah
k141_1650718,nah,nah,0,nah
k141_12199913,nah,nah,0,nah
k141_10004718,nah,nah,1,DNAPOLB:TFIIS
k141_1002039,nah,nah,1,RNA_a
k141_1002593,nah,nah,1,RNA_a
k141_10030945,nah,nah,1,DNAPOLB
k141_10033579,nah,nah,1,DNAPOLB
k141_10034570,nah,nah,1,RNA_a
k141_10034677,nah,nah,1,pATPase
k141_10036964,nah,nah,1,RNA_a
k141_10073072,nah,nah,1,DNAPOLB
k141_10086102,nah,nah,1,DNAPOLB
k141_10104870,nah,nah,1,MCP
k141_10109484,nah,nah,1,MCP
k141_10117618,nah,nah,1,Primase
k141_10124956,nah,nah,1,DNAPOLB
k141_10125954,nah,nah,1,Primase
k141_10129933,nah,nah,1,RNA_a
k141_10159343,nah,nah,1,RNA_a
k141_10194038,nah,nah,1,RNA_a
k141_10205274,nah,nah,1,RNA_a
k141_10239881,nah,nah,1,RNA_a
k141_10247773,nah,nah,1,MCP
k141_10252137,nah,nah,1,RNA_a
k141_10264181,nah,nah,1,MCP
k141_10278813,nah,nah,1,RNA_a
k141_10280717,nah,nah,1,RNA_a
k141_10284284,nah,nah,1,RNA_a
k141_10304187,nah,nah,1,MCP
k141_10315104,nah,nah,1,DNAPOLB
k141_10320732,nah,nah,1,RNA_a
